Clock:Tick#,Clock:offsetTime,IMU_ATTI(0):Longitude,IMU_ATTI(0):Latitude,IMU_ATTI(0):press:D,IMU_ATTI(0):alti:D,IMU_ATTI(0):relativeHeight:C,IMU_ATTI(0):absoluteHeight:C,IMU_ATTI(0):numSats,IMU_ATTI(0):roll:C,IMU_ATTI(0):pitch:C,IMU_ATTI(0):yaw:C,IMU_ATTI(0):accelX,IMU_ATTI(0):accelY,IMU_ATTI(0):accelZ,IMU_ATTI(0):accelComposite:C,IMU_ATTI(0):gyroX,IMU_ATTI(0):gyroY,IMU_ATTI(0):gyroZ,IMU_ATTI(0):gyroComposite:C,IMU_ATTI(0):velN,IMU_ATTI(0):velE,IMU_ATTI(0):velD,IMU_ATTI(0):velComposite:C,IMU_ATTI(0):velH:C,IMU_ATTI(0):magX,IMU_ATTI(0):magY,IMU_ATTI(0):magZ,IMU_ATTI(0):magMod:C,IMU_ATTI(0):temperature,IMU_ATTI(0):yawUnWrapped:C,IMU_ATTI(0):tiltInclination:C,IMU_ATTI(0):tiltDirectionEarthFrame:C,IMU_ATTI(0):tiltDirectionBodyFrame:C,IMU_ATTI(0):yaw360:C,IMU_ATTI(0):magYaw:C,IMU_ATTI(0):Yaw-magYaw:C,IMUCalcs(0):PosN:C,IMUCalcs(0):PosE:C,IMUCalcs(0):PosD:C,IMUCalcs(0):height:C,IMUCalcs(0):velN:C,IMUCalcs(0):velE:C,IMUCalcs(0):velD:C,IMUCalcs(0):diffVelN:C,IMUCalcs(0):diffVelE:C,IMUCalcs(0):diffVelD:C,IMUCalcs(0):Lat:C,IMUCalcs(0):Long:C,IMUCalcs(0):VelocityError:C,IMUCalcs(0):PositionError:C,IMUCalcs(0):totalGyroZ:C,IMUCalcs(0):totalGyroX:C,IMUCalcs(0):totalGyroY:C,IMU_ATTI(0):distanceHP:C,IMU_ATTI(0):distanceTravelled:C,IMU_ATTI(0):directionOfTravel[mag]:C,IMU_ATTI(0):directionOfTravel[true]:C,IMU_ATTI(0):quatW:D,IMU_ATTI(0):quatX:D,IMU_ATTI(0):quatY:D,IMU_ATTI(0):quatZ:D,IMU_ATTI(0):agX:D,IMU_ATTI(0):agY:D,IMU_ATTI(0):agZ:D,IMU_ATTI(0):gbX:D,IMU_ATTI(0):gbY:D,IMU_ATTI(0):gbZ:D,IMU_ATTI(0):ty:D,IMU_ATTI(0):tz:D,IMU_ATTI(0):sensor_stat:D,IMU_ATTI(0):filter_stat:D,IMU_ATTI(0):atti_cnt:D,Controller:ctrl_tick:D,Controller:ctrl_pitch:D,Controller:ctrl_roll:D,Controller:ctrl_yaw:D,Controller:ctrl_thr:D,Controller:ctrl_mode,Controller:mode_switch:D,Controller:motor_state:D,Controller:sig_level:D,Controller:ctrl_level:D,Controller:sim_model:D,Controller:max_height:D,Controller:max_radius:D,Controller:D2H_x:D,Controller:D2H_y:D,Controller:act_req_id:D,Controller:act_act_id:D,Controller:cmd_mod:D,Controller:mod_req_id:D,Controller:is_soaring_up:D,Controller:eagle_temp_level:D,MVO:velX,MVO:velY,MVO:velZ,MVO:posX,MVO:posY,MVO:posZ,MVO:hoverPointUncertainty1,MVO:hoverPointUncertainty2,MVO:hoverPointUncertainty3,MVO:hoverPointUncertainty4,MVO:hoverPointUncertainty5,MVO:hoverPointUncertainty6,MVO:velocityUncertainty1,MVO:velocityUncertainty2,MVO:velocityUncertainty3,MVO:velocityUncertainty4,MVO:velocityUncertainty5,MVO:velocityUncertainty6,MVO:height,MVO:heightUncertainty,AirSpeed:comp_alti:D,AirSpeed:windSpeed,AirSpeed:windDirection,AirSpeed:windFromDir,AirSpeed:windN,AirSpeed:windE,AirSpeed:MotorSpd:D,AirSpeed:vel_level:D,ATTI_MINI0:s_qw0,ATTI_MINI0:s_qx0,ATTI_MINI0:s_qy0,ATTI_MINI0:s_qz0,ATTI_MINI0:roll:C,ATTI_MINI0:pitch:C,ATTI_MINI0:yaw:C,ATTI_MINI0:s_pgz0,ATTI_MINI0:s_vgz0,ATTI_MINI0:s_agz0,ATTI_MINI0:s_rsv00,ATTI_MINI0:s_rsv10,ATTI_MINI0:s_cnt0,osd_data:flyCState,osd_data:flycCommand,osd_data:flightAction,osd_data:nonGPSCause,osd_data:compassError,osd_data:connectedToRC,osd_data:lowVoltage,osd_data:ModeSwitch,osd_data:gpsUsed,osd_data:visionUsed,osd_data:notEnoughForce,osd_data:flightTime,osd_data:navHealth,osd_data:vpsHeight,osd_data:relativeHeight,usonic:usonic_h,MotorCtrl:PWM:RFront,MotorCtrl:PWM:LFront,MotorCtrl:PWM:LBack,MotorCtrl:PWM:RBack,Attribute|Value,ConvertDatV3,4.3.0
0,-1.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8138573,.000,,,32.8731,-0.0,,,0,NaN,0.0,0.0,-0.010676009,0.009858537,-1.0071324,1.0072372,1.7566555,1.3435134,0.88214713,2.3809767,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.82,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5007,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,Firmware Date| May  7 2019
8342730,.045,,,32.8731,-0.0,,,0,NaN,0.0,0.0,-0.010676009,0.009858537,-1.0071324,1.0072372,1.7566555,1.3435134,0.88214713,2.3809767,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.82,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5007,0,0,39,10,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,20,,,,,,,,P,,,,,,,,,,,,,ACType|Tello
8607327,.104,,,32.833466,-0.0,,,0,NaN,0.0,0.0,0.002460296,-0.0011860719,-1.0059375,1.0059412,-0.8805069,0.8772875,0.5407346,1.3554777,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.74,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.01408160843761408,-0.02292983149958161,0.02284599396934084,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5012,0,0,119,10,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,40,,,,,,,,P,,,,,,,,,,,,,
8811483,.150,,,32.833466,-0.0,,,0,NaN,0.0,0.0,0.002460296,-0.0011860719,-1.0059375,1.0059412,-0.8805069,0.8772875,0.5407346,1.3554777,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.74,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.01408160843761408,-0.02292983149958161,0.02284599396934084,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5012,0,0,119,20,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,60,,,,,,,,P,,,,,,,,,,,,,
9076103,.208,,,32.83611,-0.0,,,0,NaN,0.0,0.0,0.0028393392,-0.0019792775,-1.0063034,1.0063094,-1.0149894,0.8076403,0.65415525,1.4527235,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.75,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.07356459534850401,-0.12113134028059847,0.10471647761341529,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5014,0,0,199,20,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,80,,,,,,,,P,,,,,,,,,,,,,
9234723,.244,,,32.83611,-0.0,,,0,NaN,0.0,0.0,0.0028393392,-0.0019792775,-1.0063034,1.0063094,-1.0149894,0.8076403,0.65415525,1.4527235,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.75,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.07356459534850401,-0.12113134028059847,0.10471647761341529,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5014,0,0,199,20,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,100,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,False,Connected,,P,False,False,True,0,0,,0.0,,,,,,
9749003,.358,,,32.86253,-0.0,,,0,NaN,0.0,0.0,0.0051029194,-7.143056E-4,-1.0048563,1.0048696,-0.9176197,0.71566296,0.45856476,1.2507921,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.68,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.1025403083305072,-0.17145732112741996,0.14438395716221208,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5014,0,0,239,30,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,100,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,False,Connected,,P,False,False,True,0,0,,0.0,,,,,,
36525301,6.308,,,32.86253,-0.0,,,0,NaN,0.0,0.0,0.0051029194,-7.143056E-4,-1.0048563,1.0048696,-0.9176197,0.71566296,0.45856476,1.2507921,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.68,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.1025403083305072,-0.17145732112741996,0.14438395716221208,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5014,0,0,239,30,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,100,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,False,Connected,,P,False,False,True,0,0,,0.0,,,,,,
36825594,6.375,,,32.86253,-0.0,,,0,NaN,0.0,0.0,0.0051029194,-7.143056E-4,-1.0048563,1.0048696,-0.9176197,0.71566296,0.45856476,1.2507921,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,52.68,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.1025403083305072,-0.17145732112741996,0.14438395716221208,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,5014,0,0,239,30,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,100,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,False,Connected,,P,False,False,True,0,0,,0.0,0.1,,,,,
