Clock:Tick#,Clock:offsetTime,IMU_ATTI(0):Longitude,IMU_ATTI(0):Latitude,IMU_ATTI(0):press:D,IMU_ATTI(0):alti:D,IMU_ATTI(0):relativeHeight:C,IMU_ATTI(0):absoluteHeight:C,IMU_ATTI(0):numSats,IMU_ATTI(0):roll:C,IMU_ATTI(0):pitch:C,IMU_ATTI(0):yaw:C,IMU_ATTI(0):accelX,IMU_ATTI(0):accelY,IMU_ATTI(0):accelZ,IMU_ATTI(0):accelComposite:C,IMU_ATTI(0):gyroX,IMU_ATTI(0):gyroY,IMU_ATTI(0):gyroZ,IMU_ATTI(0):gyroComposite:C,IMU_ATTI(0):velN,IMU_ATTI(0):velE,IMU_ATTI(0):velD,IMU_ATTI(0):velComposite:C,IMU_ATTI(0):velH:C,IMU_ATTI(0):magX,IMU_ATTI(0):magY,IMU_ATTI(0):magZ,IMU_ATTI(0):magMod:C,IMU_ATTI(0):temperature,IMU_ATTI(0):yawUnWrapped:C,IMU_ATTI(0):tiltInclination:C,IMU_ATTI(0):tiltDirectionEarthFrame:C,IMU_ATTI(0):tiltDirectionBodyFrame:C,IMU_ATTI(0):yaw360:C,IMU_ATTI(0):magYaw:C,IMU_ATTI(0):Yaw-magYaw:C,IMUCalcs(0):PosN:C,IMUCalcs(0):PosE:C,IMUCalcs(0):PosD:C,IMUCalcs(0):height:C,IMUCalcs(0):velN:C,IMUCalcs(0):velE:C,IMUCalcs(0):velD:C,IMUCalcs(0):diffVelN:C,IMUCalcs(0):diffVelE:C,IMUCalcs(0):diffVelD:C,IMUCalcs(0):Lat:C,IMUCalcs(0):Long:C,IMUCalcs(0):VelocityError:C,IMUCalcs(0):PositionError:C,IMUCalcs(0):totalGyroZ:C,IMUCalcs(0):totalGyroX:C,IMUCalcs(0):totalGyroY:C,IMU_ATTI(0):distanceHP:C,IMU_ATTI(0):distanceTravelled:C,IMU_ATTI(0):directionOfTravel[mag]:C,IMU_ATTI(0):directionOfTravel[true]:C,IMU_ATTI(0):quatW:D,IMU_ATTI(0):quatX:D,IMU_ATTI(0):quatY:D,IMU_ATTI(0):quatZ:D,IMU_ATTI(0):agX:D,IMU_ATTI(0):agY:D,IMU_ATTI(0):agZ:D,IMU_ATTI(0):gbX:D,IMU_ATTI(0):gbY:D,IMU_ATTI(0):gbZ:D,IMU_ATTI(0):ty:D,IMU_ATTI(0):tz:D,IMU_ATTI(0):sensor_stat:D,IMU_ATTI(0):filter_stat:D,IMU_ATTI(0):atti_cnt:D,Controller:ctrl_tick:D,Controller:ctrl_pitch:D,Controller:ctrl_roll:D,Controller:ctrl_yaw:D,Controller:ctrl_thr:D,Controller:ctrl_mode,Controller:mode_switch:D,Controller:motor_state:D,Controller:sig_level:D,Controller:ctrl_level:D,Controller:sim_model:D,Controller:max_height:D,Controller:max_radius:D,Controller:D2H_x:D,Controller:D2H_y:D,Controller:act_req_id:D,Controller:act_act_id:D,Controller:cmd_mod:D,Controller:mod_req_id:D,Controller:is_soaring_up:D,Controller:eagle_temp_level:D,MVO:velX,MVO:velY,MVO:velZ,MVO:posX,MVO:posY,MVO:posZ,MVO:hoverPointUncertainty1,MVO:hoverPointUncertainty2,MVO:hoverPointUncertainty3,MVO:hoverPointUncertainty4,MVO:hoverPointUncertainty5,MVO:hoverPointUncertainty6,MVO:velocityUncertainty1,MVO:velocityUncertainty2,MVO:velocityUncertainty3,MVO:velocityUncertainty4,MVO:velocityUncertainty5,MVO:velocityUncertainty6,MVO:height,MVO:heightUncertainty,AirSpeed:comp_alti:D,AirSpeed:windSpeed,AirSpeed:windDirection,AirSpeed:windFromDir,AirSpeed:windN,AirSpeed:windE,AirSpeed:MotorSpd:D,AirSpeed:vel_level:D,ATTI_MINI0:s_qw0,ATTI_MINI0:s_qx0,ATTI_MINI0:s_qy0,ATTI_MINI0:s_qz0,ATTI_MINI0:roll:C,ATTI_MINI0:pitch:C,ATTI_MINI0:yaw:C,ATTI_MINI0:s_pgz0,ATTI_MINI0:s_vgz0,ATTI_MINI0:s_agz0,ATTI_MINI0:s_rsv00,ATTI_MINI0:s_rsv10,ATTI_MINI0:s_cnt0,osd_data:flyCState,osd_data:flycCommand,osd_data:flightAction,osd_data:nonGPSCause,osd_data:compassError,osd_data:connectedToRC,osd_data:lowVoltage,osd_data:ModeSwitch,osd_data:gpsUsed,osd_data:visionUsed,osd_data:notEnoughForce,osd_data:flightTime,osd_data:navHealth,osd_data:vpsHeight,osd_data:relativeHeight,usonic:usonic_h,MotorCtrl:PWM:RFront,MotorCtrl:PWM:LFront,MotorCtrl:PWM:LBack,MotorCtrl:PWM:RBack,Attribute|Value,ConvertDatV3,4.3.0
0,-1.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8142136,.000,,,35.063583,-0.0,,,0,NaN,0.0,0.0,-0.007916293,0.0067614447,-1.0084704,1.0085242,1.666015,1.4321898,0.85991675,2.359286,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.34,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,5134,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,Firmware Date| May  7 2019
8345580,.045,,,35.063583,-0.0,,,0,NaN,0.0,0.0,-0.007916293,0.0067614447,-1.0084704,1.0085242,1.666015,1.4321898,0.85991675,2.359286,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.34,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,5134,0,0,39,10,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,20,,,,,,,,P,,,,,,,,,,,,,ACType|Tello
8610886,.104,,,35.08208,-0.0,,,0,NaN,0.0,0.0,0.0062061017,-0.0036827417,-1.0062255,1.0062513,-1.0646727,0.6943691,0.57988954,1.3971214,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.58,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.01510116326242894,-0.027725619099541632,0.01808237631003351,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,5137,0,0,119,10,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,40,,,,,,,,P,,,,,,,,,,,,,
8814335,.149,,,35.08208,-0.0,,,0,NaN,0.0,0.0,0.0062061017,-0.0036827417,-1.0062255,1.0062513,-1.0646727,0.6943691,0.57988954,1.3971214,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.58,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.01510116326242894,-0.027725619099541632,0.01808237631003351,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,5137,0,0,119,20,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,60,,,,,,,,P,,,,,,,,,,,,,
9079716,.208,,,34.989597,-0.0,,,0,NaN,0.0,0.0,0.006516169,-0.004197568,-1.0074522,1.007482,-1.1248417,0.8285511,0.53736746,1.4968399,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.53,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.0682843999264513,-0.1343065335779663,0.10682810312847835,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,5142,0,0,199,20,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,80,,,,,,,,P,,,,,,,,,,,,,
9236416,.243,,,34.989597,-0.0,,,0,NaN,0.0,0.0,0.006516169,-0.004197568,-1.0074522,1.007482,-1.1248417,0.8285511,0.53736746,1.4968399,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.53,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.0682843999264513,-0.1343065335779663,0.10682810312847835,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,5142,0,0,199,20,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,100,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,False,Connected,,P,False,False,True,0,0,,0.0,,,,,,
9751853,.358,,,34.997524,-0.0,,,0,NaN,0.0,0.0,0.005059626,-0.003928633,-1.0053244,1.0053447,-0.96562546,0.7339796,0.56738305,1.3390601,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.6,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.09704573547933748,-0.18873024874539013,0.14750739596416196,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,5142,0,0,239,30,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,100,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,False,Connected,,P,False,False,True,0,0,,0.0,,,,,,
27028509,4.197,,,34.997524,-0.0,,,0,NaN,0.0,0.0,0.005059626,-0.003928633,-1.0053244,1.0053447,-0.96562546,0.7339796,0.56738305,1.3390601,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.6,0.0,NaN,NaN,NaN,0.0,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,0.09704573547933748,-0.18873024874539013,0.14750739596416196,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,5142,0,0,239,30,0.0,0.0,0.0,0.0,Manual,0,0,0,0,0,500,5000,0.0,0.0,17,5,26,17,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,-0.0,0.0,0.0,0,0,100,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,False,Connected,,P,False,False,True,0,0,,0.0,,,,,,
27263108,4.249,,,35.074154,35.07293,,,0,0.19706292278692863,0.40269699483807603,-0.01263428464648091,0.0076646768,-0.0045942,-1.0039928,1.0040326,-1.009263,0.78498477,0.40995952,1.3427136,9.039146E-5,4.8724913E-5,0.005716382,0.0057173045,1.0268755078734556E-4,0,0,0,0.0,55.59,-0.01263428464648091,0.448325894303333,153.91247295466678,153.92510723931326,359.9873657153535,NaN,NaN,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,2.03160360976101,-4.097836635819082,3.1541547244174026,,0.0,,,0.9999924,0.0017200744,0.003513992,-1.0421075E-4,0.00872869,-0.014362719,0.014725685,-0.018329745,0.014856526,0.009427911,800,5125,0,0,3291,410,0.0,0.0,0.0,0.0,GPS_Atti,2,0,0,0,0,10,5000,0.0,0.0,17,5,3,2,0,0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.99999166,0.0016767838,0.0037318016,2.4636372E-4,-0.19203864947767835,-0.42768301740605114,-0.028948172830188638,35.18337,-0.090958,-0.030891329,0,0,1652,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,False,Connected,,P,False,False,True,0,0,,0.0,,,,,,
